REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
National,X,1997,40,1291,0,0,0,0,0,0,0,0
National,X,1997,41,1513,0.727032386,0,0,0,0,11,0,0
National,X,1997,42,1552,1.095360825,0,0,3,0,13,1,0
National,X,1997,43,1669,0.419412822,0,0,0,0,7,0,0
National,X,1997,44,1897,0.527148129,0,0,9,0,1,0,0
National,X,1997,45,2106,0.284900285,0,0,0,0,6,0,0
National,X,1997,46,2204,0.362976407,0,0,3,0,4,1,0
National,X,1997,47,2533,0.908014212,0,0,5,0,17,1,0
National,X,1997,48,2242,1.650312221,0,0,14,0,22,1,0
National,X,1997,49,2607,1.534330648,0,0,11,0,28,1,0
National,X,1997,50,3086,3.175631886,0,0,37,0,59,2,0
National,X,1997,51,3410,7.126099707,0,0,84,0,159,0,0
National,X,1997,52,3349,12.60077635,0,0,111,0,311,0,0
National,X,1997,53,4402,17.94638801,1,0,161,0,627,1,0
National,X,1998,1,5294,19.30487344,0,0,211,0,808,3,0
National,X,1998,2,5501,20.92346846,3,0,281,0,863,4,0
National,X,1998,3,6196,25.6132989,1,0,453,0,1132,1,0
National,X,1998,4,6730,28.06835067,0,0,589,0,1299,1,0
National,X,1998,5,6288,26.71755725,0,0,413,0,1266,1,0
National,X,1998,6,5867,24.37361514,1,0,363,0,1061,5,0
National,X,1998,7,4904,20.12642741,0,0,226,0,757,4,0
National,X,1998,8,3975,14.23899371,0,0,93,0,469,4,0
National,X,1998,9,3169,9.687598612,0,0,63,0,241,3,0
National,X,1998,10,2658,7.599699022,0,0,47,0,149,6,0
National,X,1998,11,2234,5.416293644,0,0,30,0,86,5,0
National,X,1998,12,2048,4.1015625,0,0,12,0,66,6,0
National,X,1998,13,1683,2.792632204,0,0,11,0,29,7,0
National,X,1998,14,1532,2.219321149,0,0,6,0,22,6,0
National,X,1998,15,1357,2.873986735,0,0,0,0,27,12,0
National,X,1998,16,1421,1.477832512,0,0,1,0,16,4,0
National,X,1998,17,1236,1.294498382,0,0,1,0,9,6,0
National,X,1998,18,1142,1.401050788,0,0,3,0,8,5,0
National,X,1998,19,1038,0.867052023,0,0,0,0,5,4,0
National,X,1998,20,938,0.959488273,0,0,0,0,2,7,0
National,X,1998,21,,,X,X,X,X,X,X,X
National,X,1998,22,,,X,X,X,X,X,X,X
National,X,1998,23,,,X,X,X,X,X,X,X
National,X,1998,24,,,X,X,X,X,X,X,X
National,X,1998,25,,,X,X,X,X,X,X,X
National,X,1998,26,,,X,X,X,X,X,X,X
National,X,1998,27,,,X,X,X,X,X,X,X
National,X,1998,28,,,X,X,X,X,X,X,X
National,X,1998,29,,,X,X,X,X,X,X,X
National,X,1998,30,,,X,X,X,X,X,X,X
National,X,1998,31,,,X,X,X,X,X,X,X
National,X,1998,32,,,X,X,X,X,X,X,X
National,X,1998,33,,,X,X,X,X,X,X,X
National,X,1998,34,,,X,X,X,X,X,X,X
National,X,1998,35,,,X,X,X,X,X,X,X
National,X,1998,36,,,X,X,X,X,X,X,X
National,X,1998,37,,,X,X,X,X,X,X,X
National,X,1998,38,,,X,X,X,X,X,X,X
National,X,1998,39,,,X,X,X,X,X,X,X
National,X,1998,40,1407,0.142146411,0,0,2,0,0,0,0
National,X,1998,41,1453,0.344115623,0,0,4,0,1,0,0
National,X,1998,42,1654,0.181378476,1,0,0,0,2,0,0
National,X,1998,43,1814,0.33076075,0,0,1,0,0,5,0
National,X,1998,44,2051,0.877620673,0,0,12,0,6,0,0
National,X,1998,45,2222,0.630063006,0,0,5,0,5,4,0
National,X,1998,46,2051,0.390053632,0,0,4,0,0,4,0
National,X,1998,47,1809,0.939745716,0,0,5,0,4,8,0
National,X,1998,48,2397,1.168126825,0,0,11,0,6,11,0
National,X,1998,49,2432,1.850328947,0,0,9,0,15,21,0
National,X,1998,50,2428,1.729818781,1,0,12,0,15,14,0
National,X,1998,51,2207,3.760761214,0,0,21,0,35,27,0
National,X,1998,52,2706,5.912786401,1,0,47,0,81,31,0
National,X,1999,1,3524,9.392735528,0,0,72,0,183,76,0
National,X,1999,2,3889,14.7595783,1,0,151,0,311,111,0
National,X,1999,3,4262,20.29563585,1,0,193,0,518,153,0
National,X,1999,4,5210,22.07293666,1,0,222,0,658,269,0
National,X,1999,5,6143,27.31564382,1,0,351,0,926,400,0
National,X,1999,6,6574,28.29327654,2,0,317,0,1134,407,0
National,X,1999,7,6723,25.50944519,9,0,262,0,1065,379,0
National,X,1999,8,6616,25.2267231,1,0,250,0,1052,366,0
National,X,1999,9,5933,23.37771785,1,0,184,0,868,334,0
National,X,1999,10,4289,20.58754955,2,0,137,0,528,216,0
National,X,1999,11,4014,15.62032885,5,0,100,0,346,176,0
National,X,1999,12,3242,14.31215299,1,0,78,0,264,121,0
National,X,1999,13,2712,8.259587021,0,0,42,0,121,61,0
National,X,1999,14,2222,7.920792079,1,0,27,0,110,38,0
